year,month,precipitation_total_mm,precipitation_total_mm_quality,mean_temperature_c,mean_temperature_c_quality,mean_daily_high_c,mean_daily_high_c_quality,mean_daily_low_c,mean_daily_low_c_quality,snowfall_total_cm,snowfall_total_cm_quality,max_snow_depth_cm,max_snow_depth_cm_quality,snow_days,snow_days_quality,rainy_days_0_5mm,rainy_days_0_5mm_quality,rainy_days_1mm,rainy_days_1mm_quality,heavy_rain_days_10mm,heavy_rain_days_10mm_quality,heavy_rain_days_30mm,heavy_rain_days_30mm_quality,date,month_label,season,temperature_range_c,precipitation_per_rainy_day_mm,quality_summary,has_quality_warning,source_station,source_organization,source_main_url,source_rain_url,retrieved_at_utc
2015,1,223.0,正常,3.9,正常,6.9,正常,1.2,正常,45.0,正常,26.0,正常,20.0,正常,25.0,正常,22.0,正常,10.0,正常,0.0,正常,2015-01-01,1月,冬,5.7,10.1,正常,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,2,150.5,正常,4.8,正常,8.1,正常,1.7,正常,21.0,正常,13.0,正常,15.0,正常,19.0,正常,18.0,正常,6.0,正常,0.0,正常,2015-02-01,2月,冬,6.4,8.4,正常,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,3,172.5,正常,7.7,正常,11.9,正常,3.8,正常,9.0,正常,6.0,正常,9.0,正常,15.0,正常,15.0,正常,6.0,正常,1.0,正常,2015-03-01,3月,春,8.1,11.5,正常,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,4,198.5,正常,13.3,正常,18.0,正常,9.2,正常,0.0,現象なし,0.0,現象なし,0.0,正常,15.0,正常,13.0,正常,8.0,正常,1.0,正常,2015-04-01,4月,春,8.8,15.3,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,5,120.0,正常,19.5,正常,24.1,正常,14.9,正常,0.0,現象なし,0.0,現象なし,0.0,正常,8.0,正常,6.0,正常,5.0,正常,1.0,正常,2015-05-01,5月,春,9.2,20.0,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,6,107.5,正常,21.7,正常,25.9,正常,18.3,正常,0.0,現象なし,0.0,現象なし,0.0,正常,16.0,正常,14.0,正常,4.0,正常,0.0,正常,2015-06-01,6月,夏,7.6,7.7,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,7,159.0,正常,26.1,正常,30.0,正常,23.0,正常,0.0,現象なし,0.0,現象なし,0.0,正常,12.0,正常,12.0,正常,5.0,正常,2.0,正常,2015-07-01,7月,夏,7.0,13.2,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,8,123.5,正常,27.0,正常,30.9,正常,24.0,正常,0.0,現象なし,0.0,現象なし,0.0,正常,8.0,正常,8.0,正常,3.0,正常,1.0,正常,2015-08-01,8月,夏,6.9,15.4,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,9,272.0,正常,21.5,正常,25.4,正常,18.6,正常,0.0,現象なし,0.0,現象なし,0.0,正常,17.0,正常,17.0,正常,12.0,正常,3.0,正常,2015-09-01,9月,秋,6.8,16.0,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
2015,10,77.5,正常,17.1,正常,21.7,正常,13.0,正常,0.0,現象なし,0.0,現象なし,0.0,正常,13.0,正常,13.0,正常,1.0,正常,1.0,正常,2015-10-01,10月,秋,8.7,6.0,現象なし,False,金沢（47605）,気象庁,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=p1s,https://www.data.jma.go.jp/stats/etrn/view/monthly_s1.php?prec_no=56&block_no=47605&year=2015&month=&day=&view=a1,2026-07-21T05:12:53+00:00
